id,name,price,availability_365,reviews_per_month
2539,Clean & quiet apt home by the park,149,365,0.21
2595,Skylit Midtown Castle,225,355,0.38
3647,THE VILLAGE OF HARLEM....NEW YORK !,150,365,
3831,Cozy Entire Floor of Brownstone,89,194,4.64
5022,Entire Apt: Spacious Studio/Loft by central park,80,0,0.1
5099,Large Cozy 1 BR Apartment In Midtown East,200,129,0.59
5121,BlissArtsSpace!,60,0,0.4
5178,Large Furnished Room Near B'way ,79,220,3.47
5203,Cozy Clean Guest Room - Family Apt,79,0,0.99
5238,Cute & Cozy Lower East Side 1 bdrm,150,188,1.33
5295,Beautiful 1br on Upper West Side,135,6,0.43
5441,Central Manhattan/near Broadway,85,39,1.5
5803,"Lovely Room 1, Garden, Best Area, Legal rental",89,314,1.34
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,85,333,0.91
6090,West Village Nest - Superhost,120,0,0.22
6848,Only 2 stops to Manhattan studio,140,46,1.2
7097,Perfect for Your Parents + Garden,215,321,1.72
7322,Chelsea Perfect,140,12,2.12
7726,Hip Historic Brownstone Apartment with Backyard,99,21,4.44
7750,Huge 2 BR Upper East  Cental Park,190,249,
7801,Sweet and Spacious Brooklyn Loft,299,0,0.07
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,130,347,1.09
8025,CBG Helps Haiti Room#2.5,80,364,0.37
8110,CBG Helps Haiti Rm #2,110,304,0.61
8490,"MAISON DES SIRENES1,bohemian apartment",120,233,0.73
8505,Sunny Bedroom Across Prospect Park,60,85,1.37
8700,Magnifique Suite au N de Manhattan - vue Cloitres,80,0,
9357,Midtown Pied-a-terre,150,75,0.49
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",44,311,1.11
9657,Modern 1 BR / NYC / EAST VILLAGE,180,67,0.24
9668,front room/double bed,50,355,2.04
9704,Spacious 1 bedroom in luxe building,52,255,1.42
9782,Loft in Williamsburg Area w/ Roof,55,284,1.65
9783,back room/bunk beds,50,359,2.37
10452,Large B&B Style rooms,70,269,0.66
10962,"Lovely room 2 & garden; Best area, Legal rental",89,340,1.41
11452,Clean and Quiet in Brooklyn,35,365,
11708,Cute apt in artist's home,85,22,1.96
11943,Country space in the city,150,365,
12048,LowerEastSide apt share shortterm 1,40,188,1.81
12192,ENJOY Downtown NYC!,68,96,2.08
12299,Beautiful Sunny Park Slope Brooklyn,120,345,0.39
12303,1bdr w private bath. in lofty apt,120,311,0.23
12318,West Side Retreat,135,273,0.69
12343,BEST BET IN HARLEM,150,309,0.84
12627,Entire apartment in central Brooklyn neighborhood.,150,95,0.49
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",130,215,2.25
12940,Charming Brownstone 3 - Near PRATT,110,265,0.52
13050,bright and stylish duplex,115,0,0.1
13394,Fort Greene brownstone ,80,192,1.16
13808,Blue Room for 2 in Brownstone for $1350 monthly,80,251,1.01
14287,Cozy 1BD on Central Park West in New York City,151,302,0.63
14290,* ORIGINAL BROOKLYN LOFT *,228,140,0.7
14314,Greenpoint Place...Has It All! ,144,234,2.82
14322,Beautiful Apartment in Manhattan!!!,200,257,0.22
14377,Williamsburg 1 bedroom Apartment,150,30,0.9
14991,"Great Location, Manhattan Bedroom!",110,301,0.17
